"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-990	0.98267	0.96574	0.98895	0.99095	0.97665	0.9811	0.99396	0.98239	0.9738	0.97955	0.9846	0.98516	0.9725	0.98193	0.97948	0.98094	0.97591	0.97252	0.97498	0.98308	0.97465	0.96914	0.98432	0.97021	0.98267	0.9798	0.98585	0.99113	0.97226	0.99184	0.97952	0.98654	0.99293	0.98578	0.97727	0.99319	0.9976	0.97069	0.97838	0.97835	0.98273	1.00113	0.97609	0.9758	0.98156	0.98554
-975	0.97399	0.96217	0.98038	0.97648	0.96577	0.97261	0.98665	0.97753	0.96681	0.9744	0.97886	0.97322	0.963	0.97289	0.9675	0.97685	0.96296	0.96549	0.96717	0.97535	0.96609	0.96431	0.97459	0.96212	0.97149	0.96795	0.97342	0.98889	0.96206	0.98888	0.96729	0.96956	0.98834	0.9723	0.96655	0.97893	0.98231	0.96779	0.9705	0.97381	0.97766	0.9843	0.96514	0.97016	0.97046	0.97407
-960	0.96884	0.96135	0.97875	0.96334	0.95999	0.96663	0.97792	0.96656	0.96418	0.96736	0.96936	0.96653	0.95066	0.96221	0.96098	0.97154	0.95933	0.96659	0.96108	0.97114	0.96125	0.96169	0.96467	0.96713	0.96589	0.96807	0.96721	0.97779	0.95042	0.97676	0.95941	0.95902	0.9815	0.97205	0.95557	0.96855	0.97488	0.96376	0.96536	0.96709	0.97149	0.98134	0.96307	0.96703	0.96334	0.96435
-945	0.96716	0.96784	0.97832	0.953	0.96374	0.96417	0.97505	0.96777	0.9625	0.97121	0.97096	0.96546	0.95049	0.96069	0.96459	0.97538	0.95812	0.97003	0.96617	0.97335	0.95972	0.96412	0.96438	0.96653	0.96473	0.97383	0.96544	0.9714	0.9485	0.97076	0.95552	0.95532	0.97795	0.98022	0.95525	0.96985	0.97112	0.96168	0.96882	0.96699	0.97337	0.98562	0.96546	0.97451	0.9568	0.96386
-930	0.97296	0.98082	0.98411	0.95819	0.96619	0.96909	0.97514	0.97627	0.96838	0.97147	0.97589	0.97109	0.95033	0.97125	0.96756	0.98364	0.96369	0.97922	0.9721	0.97213	0.96766	0.97247	0.96844	0.97847	0.96924	0.97694	0.96693	0.97385	0.95345	0.96847	0.95916	0.95825	0.97556	0.98682	0.95992	0.97427	0.96811	0.96663	0.97595	0.97041	0.97783	0.9923	0.97103	0.98531	0.95849	0.96324
-915	0.98067	0.98649	0.99743	0.95956	0.97611	0.97078	0.98326	0.98542	0.97867	0.98445	0.97995	0.98772	0.96383	0.98351	0.97838	0.99658	0.96968	0.9943	0.97994	0.97829	0.98028	0.97792	0.97595	0.98386	0.98091	0.98621	0.97706	0.9763	0.96658	0.97121	0.9724	0.97195	0.97806	0.99375	0.97142	0.98445	0.97351	0.97194	0.98744	0.97827	0.99379	1.00388	0.96908	1.00016	0.96606	0.97731
-900	0.98822	0.9934	1.00122	0.96859	0.99212	0.9849	0.99395	0.99196	0.98704	0.99627	0.99488	0.99923	0.98259	0.99647	0.99162	1.00409	0.97519	1.00924	0.99297	0.98295	0.99246	0.98131	0.98659	0.99542	0.9881	0.99982	0.98601	0.98706	0.98957	0.98015	0.97936	0.98683	0.99055	1.00242	0.98515	0.99242	0.98644	0.98208	0.99848	0.99644	1.00169	1.01063	0.98683	1.00641	0.98053	0.99113
-885	0.99575	0.99825	1.0101	0.98589	1.01023	0.99174	1.00157	0.9957	0.99427	1.01072	1.00753	1.01343	1.00219	1.0126	1.00505	1.01257	0.98737	1.01903	1.00067	0.99048	1.00214	0.9913	0.99659	1.00641	0.99532	1.02135	1.00229	0.99267	1.01017	0.99168	0.98751	1.00046	1.00446	1.01143	1.00033	1.00464	0.99538	0.98589	1.00484	1.00349	1.01134	1.02139	1.00042	1.01895	0.99443	0.99859
-870	1.00333	0.99768	1.01539	0.99938	1.01935	0.99255	1.00883	1.00486	1.00187	1.01866	1.01553	1.02131	1.01171	1.02311	1.00925	1.01831	0.99271	1.02404	1.00951	0.98933	1.01248	0.99939	1.01012	1.0197	1.00801	1.02684	1.008	1.0095	1.01559	1.00266	0.99912	1.01705	1.01341	1.01405	1.01517	1.01372	1.00536	0.99826	1.0174	1.01168	1.01706	1.02601	1.01334	1.02098	1.00509	1.00319
-855	1.00324	0.99413	1.01067	1.01078	1.02232	0.9949	1.00932	0.99972	1.004	1.01635	1.01724	1.01912	1.01477	1.01756	1.00737	1.01523	0.99612	1.01833	1.00952	0.99225	1.01483	1.00003	1.01133	1.01529	1.00878	1.02848	1.00923	1.01492	1.02575	1.00028	1.0005	1.02258	1.01787	1.01441	1.01365	1.01498	1.00527	1.00689	1.0127	1.01013	1.0165	1.01327	1.01238	1.01688	1.00947	0.99599
