"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-990	0.94879	0.95338	0.93103	0.93013	0.96508	0.94968	0.9737	0.94744	0.94074	0.9317	0.9539	0.98555	0.95339	0.99011	0.94173	0.94419	0.94376	0.93184	0.92836	0.97088	0.96271	0.93426	0.94881	0.94973	0.95273	0.91991	0.95712	0.95718	0.97619	0.93636	0.95165	0.95903	0.96835	0.9684	0.96415	0.95767	0.97538	0.95052	0.97042	0.92793	0.96684	0.95851	0.94979	0.96124	0.95232	0.95746
-975	0.93424	0.9336	0.92456	0.90382	0.95849	0.91083	0.95277	0.93167	0.92703	0.91852	0.93127	0.97147	0.93533	0.96928	0.92916	0.91701	0.93108	0.90067	0.90526	0.95688	0.94379	0.92468	0.94613	0.92552	0.93863	0.92571	0.93022	0.95289	0.94392	0.91621	0.94105	0.94164	0.95179	0.9567	0.9442	0.93676	0.94061	0.9338	0.96016	0.91153	0.94561	0.94983	0.93589	0.95055	0.94002	0.94532
-960	0.92507	0.91975	0.91464	0.90122	0.93498	0.90076	0.93539	0.9261	0.91966	0.91757	0.91954	0.95095	0.92095	0.9484	0.92178	0.90842	0.92048	0.89569	0.90632	0.93239	0.93647	0.92028	0.94199	0.90472	0.92367	0.90941	0.90199	0.93563	0.93118	0.9034	0.92223	0.94112	0.95314	0.93808	0.93938	0.9248	0.91876	0.92458	0.94544	0.90691	0.92651	0.92445	0.93168	0.93211	0.9316	0.93754
-945	0.92201	0.92259	0.91631	0.9053	0.92235	0.89897	0.93195	0.92642	0.91642	0.92732	0.91086	0.93744	0.92144	0.93611	0.91857	0.90868	0.92101	0.90225	0.91364	0.92309	0.92429	0.92068	0.94785	0.91446	0.91299	0.90721	0.8991	0.92007	0.9156	0.90332	0.91297	0.92675	0.94354	0.93577	0.93421	0.91227	0.91303	0.92022	0.94546	0.90595	0.93156	0.92009	0.93369	0.9391	0.93305	0.93256
-930	0.92835	0.92412	0.93052	0.91702	0.91909	0.90908	0.93639	0.92641	0.91561	0.92247	0.91911	0.93319	0.92529	0.9351	0.93182	0.92086	0.9214	0.91364	0.92792	0.92816	0.92424	0.93042	0.9515	0.91602	0.92421	0.91164	0.90583	0.9244	0.90333	0.91649	0.91837	0.93659	0.93901	0.94119	0.93641	0.92691	0.90785	0.93241	0.95131	0.92424	0.93148	0.92482	0.95689	0.949	0.93909	0.93845
-915	0.94368	0.94201	0.95243	0.93992	0.9263	0.92229	0.94889	0.93563	0.92906	0.93144	0.93173	0.9548	0.94387	0.93787	0.94921	0.9451	0.92795	0.94437	0.95369	0.93548	0.93652	0.9351	0.96164	0.93709	0.93766	0.91853	0.92297	0.94052	0.92074	0.93458	0.92766	0.94775	0.93871	0.95917	0.94144	0.94034	0.92719	0.93425	0.96132	0.952	0.94336	0.94158	0.97134	0.95529	0.94848	0.95383
-900	0.95633	0.96694	0.98172	0.96026	0.94793	0.92696	0.96664	0.95114	0.94674	0.95075	0.95403	0.96172	0.95096	0.94674	0.96337	0.97051	0.94707	0.96378	0.96684	0.95222	0.95544	0.95386	0.97539	0.94228	0.93899	0.94492	0.93755	0.95818	0.94191	0.94622	0.94959	0.95649	0.95214	0.97409	0.95087	0.95916	0.95717	0.94902	0.97666	0.97434	0.95189	0.95613	0.98628	0.95851	0.97791	0.96419
-885	0.97714	0.976	0.9958	0.98569	0.97844	0.96274	0.98193	0.97211	0.96377	0.96525	0.96852	0.97735	0.96654	0.96488	0.9732	0.99845	0.97741	0.98489	0.97657	0.9639	0.97386	0.97693	0.985	0.97049	0.96175	0.95818	0.95629	0.98121	0.97174	0.96492	0.97571	0.9679	0.9686	0.9874	0.97241	0.9834	0.97783	0.95112	0.97813	0.99935	0.96897	0.97268	0.99066	0.97523	0.99762	0.97891
-870	0.98612	0.97005	0.9994	1.00054	0.98989	0.97542	1.00005	0.9847	0.97718	0.97026	0.97965	0.9894	0.96823	0.98933	0.98413	1.01145	0.98176	0.98846	0.98551	0.95717	0.98169	0.99177	0.98605	0.98012	0.98368	0.95933	0.97721	0.99284	0.9837	0.98059	0.98336	0.97249	0.96972	1.00836	0.9908	1.00529	0.99761	0.96436	0.9739	1.01035	0.98337	0.9978	0.99478	0.96773	1.00287	0.9998
-855	0.99553	0.97979	1.01101	0.98993	0.99199	0.98347	1.00631	0.97897	0.98898	0.9716	0.98246	0.99237	0.97792	0.99548	0.98289	1.00296	0.97215	0.99855	0.98384	0.95468	0.97815	0.98581	0.98041	0.99233	0.99316	0.95183	0.98275	1.00144	0.98683	0.97703	0.98066	0.97512	0.97328	1.0083	1.00545	1.01168	0.98911	0.96845	0.96981	1.00702	0.9845	1.00443	1.00335	0.95204	0.99427	1.00215
