"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-990	0.9841	0.96634	0.98849	0.98974	0.97973	0.98372	0.99333	0.98166	0.97394	0.98266	0.98476	0.98448	0.97347	0.97964	0.97942	0.98187	0.97749	0.97371	0.97321	0.98223	0.97171	0.96776	0.98968	0.97023	0.98087	0.97839	0.9885	0.99106	0.97703	0.99571	0.98093	0.98455	0.9966	0.98458	0.97606	0.99091	0.99892	0.97257	0.97829	0.97713	0.98267	1.00219	0.97785	0.97449	0.98516	0.98439
-975	0.97681	0.96208	0.97972	0.97483	0.96807	0.97527	0.98546	0.97637	0.96616	0.9765	0.97836	0.97391	0.96439	0.97101	0.96745	0.97603	0.96436	0.96551	0.96438	0.97452	0.9629	0.96294	0.97862	0.96249	0.9703	0.96742	0.97628	0.98866	0.96572	0.99377	0.96845	0.96805	0.99245	0.97133	0.96484	0.97685	0.98372	0.96812	0.97063	0.97242	0.97699	0.98579	0.96682	0.96858	0.97438	0.97209
-960	0.97169	0.96086	0.97819	0.96186	0.96237	0.96782	0.97724	0.9644	0.96314	0.96948	0.96841	0.96922	0.95303	0.96064	0.96094	0.97089	0.96116	0.96666	0.95865	0.96922	0.95891	0.96088	0.96954	0.96804	0.96594	0.96711	0.96897	0.97742	0.95361	0.98189	0.96014	0.95779	0.98703	0.97111	0.95349	0.9664	0.97575	0.96382	0.96681	0.96595	0.9704	0.98143	0.96413	0.96695	0.96792	0.9612
-945	0.97184	0.96719	0.97801	0.95324	0.96542	0.96655	0.97479	0.96572	0.96121	0.97278	0.96896	0.96717	0.95177	0.95922	0.96428	0.97449	0.95988	0.96981	0.96323	0.97237	0.95808	0.96323	0.96825	0.96624	0.96546	0.97149	0.96551	0.97069	0.95157	0.97624	0.95574	0.95501	0.98486	0.98	0.95268	0.9679	0.97133	0.9611	0.96916	0.96659	0.97243	0.98476	0.96585	0.97436	0.96128	0.96313
-930	0.97811	0.98034	0.98386	0.95744	0.96768	0.97244	0.97575	0.97401	0.96734	0.97336	0.97372	0.97235	0.9514	0.97143	0.96742	0.98166	0.96437	0.97889	0.96865	0.97144	0.96646	0.97159	0.97345	0.9786	0.96935	0.97483	0.96724	0.9731	0.95593	0.97577	0.95872	0.9582	0.98219	0.98696	0.95838	0.9727	0.96735	0.96643	0.97553	0.97053	0.97701	0.99258	0.97127	0.98594	0.96264	0.96235
-915	0.98533	0.98575	0.99698	0.9582	0.97711	0.97351	0.9845	0.98245	0.97818	0.98465	0.97764	0.98865	0.96497	0.98337	0.97818	0.99274	0.97018	0.99271	0.97638	0.97755	0.97954	0.97719	0.98025	0.9847	0.98045	0.9851	0.97751	0.97511	0.96845	0.98073	0.97232	0.97225	0.98641	0.99422	0.97106	0.98211	0.97293	0.9712	0.98694	0.97893	0.99244	1.00605	0.96983	1.00017	0.97014	0.97903
-900	0.99415	0.99353	1.00105	0.96785	0.99215	0.9872	0.9953	0.98868	0.98741	0.99642	0.99271	0.99919	0.98426	0.99629	0.99119	0.99887	0.97505	1.00713	0.99027	0.98318	0.9922	0.9806	0.9927	0.99551	0.98889	0.99665	0.98764	0.98521	0.99027	0.98949	0.97981	0.98586	0.99724	1.00241	0.98523	0.98981	0.98627	0.98125	0.99689	0.99699	1.00049	1.01548	0.98639	1.00679	0.98326	0.9941
-885	1.0013	0.99892	1.00922	0.9858	1.01087	0.99587	1.00353	0.99241	0.99553	1.0097	1.0061	1.01361	1.00343	1.01305	1.00445	1.00922	0.98696	1.01755	0.99809	0.99083	1.00242	0.99026	1.00362	1.00737	0.99617	1.01792	1.00341	0.99238	1.01097	1.00139	0.98865	0.9991	1.01073	1.01128	1.00057	1.00204	0.99449	0.98499	1.00123	1.00434	1.00934	1.0268	1.00052	1.01723	0.99538	1.00387
-870	1.00778	0.99821	1.01424	0.99926	1.02108	0.99591	1.01019	1.0015	1.00349	1.0167	1.01378	1.02174	1.01234	1.02404	1.00897	1.01499	0.99451	1.02408	1.00718	0.99032	1.01173	0.99805	1.01663	1.02012	1.00802	1.02286	1.01	1.0095	1.01655	1.01238	0.99965	1.01541	1.01997	1.01329	1.01495	1.00971	1.00432	0.99631	1.01351	1.01186	1.01458	1.03129	1.01451	1.01926	1.00649	1.0075
-855	1.00786	0.99455	1.00884	1.01037	1.02539	0.99839	1.01016	0.99679	1.00566	1.01468	1.01581	1.02018	1.01496	1.01807	1.00725	1.01395	0.99631	1.01885	1.00726	0.9937	1.0143	0.9989	1.01844	1.01701	1.0082	1.02476	1.00993	1.01531	1.02657	1.01081	1.00058	1.02	1.02002	1.01373	1.01349	1.01041	1.00462	1.00442	1.00918	1.00996	1.01303	1.01952	1.01381	1.01736	1.01033	1.00105
