"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-990	0.96131	0.95678	0.93193	0.92401	0.97656	0.96068	0.97923	0.94813	0.94695	0.94167	0.95951	0.99497	0.95053	0.98829	0.94427	0.94944	0.94614	0.93623	0.92527	0.9721	0.96447	0.93384	0.96435	0.9571	0.9566	0.92762	0.95567	0.96752	0.98469	0.95386	0.95568	0.962	0.98106	0.96732	0.96055	0.94846	0.98135	0.95766	0.97345	0.92986	0.96457	0.96764	0.95744	0.96701	0.96648	0.96224
-975	0.94506	0.93623	0.92675	0.89667	0.9672	0.92317	0.95827	0.93215	0.93285	0.92753	0.93761	0.97796	0.9361	0.96775	0.93042	0.92454	0.93483	0.9066	0.90144	0.95769	0.94378	0.92097	0.96016	0.93174	0.94304	0.93182	0.92782	0.96231	0.95328	0.93387	0.94489	0.94295	0.96581	0.95423	0.94222	0.92733	0.9464	0.93919	0.96298	0.91493	0.94432	0.95931	0.94434	0.95572	0.95266	0.94931
-960	0.93424	0.92012	0.91912	0.89654	0.94247	0.91138	0.94236	0.92727	0.92582	0.92538	0.92454	0.9561	0.91932	0.94617	0.92146	0.91866	0.92288	0.89842	0.90158	0.93309	0.93575	0.91532	0.95584	0.90824	0.92989	0.91568	0.90148	0.94459	0.93948	0.92195	0.92386	0.94064	0.96743	0.93393	0.93568	0.91695	0.92374	0.92689	0.94814	0.90928	0.92385	0.93416	0.93837	0.94004	0.94306	0.94074
-945	0.92703	0.92	0.92016	0.90273	0.92782	0.90981	0.93923	0.92936	0.92181	0.93327	0.91312	0.94353	0.91959	0.93404	0.91722	0.9191	0.92256	0.90364	0.90796	0.92542	0.92324	0.91306	0.96227	0.91465	0.91774	0.91376	0.89852	0.92522	0.92503	0.92078	0.91322	0.92516	0.95856	0.93292	0.93053	0.90421	0.91512	0.92219	0.9489	0.90746	0.92658	0.92976	0.93745	0.94447	0.94334	0.93662
-930	0.93135	0.9218	0.93308	0.91677	0.92317	0.91947	0.94319	0.9282	0.92001	0.92818	0.91909	0.93939	0.92348	0.93309	0.9302	0.93049	0.9239	0.91422	0.92144	0.92887	0.92276	0.92346	0.96578	0.91567	0.92569	0.91499	0.90521	0.93005	0.91412	0.93311	0.91668	0.93751	0.95704	0.93921	0.93204	0.91783	0.91047	0.93529	0.95271	0.92574	0.92617	0.93527	0.95865	0.95603	0.94843	0.94179
-915	0.94574	0.94004	0.95696	0.93406	0.92847	0.93103	0.9559	0.93711	0.93126	0.93709	0.93053	0.96113	0.94016	0.93649	0.94849	0.95304	0.93287	0.94252	0.94703	0.9374	0.93531	0.92766	0.97789	0.93641	0.93706	0.92099	0.92072	0.95002	0.93088	0.95144	0.92588	0.94845	0.95762	0.95616	0.94032	0.92969	0.92855	0.93916	0.96132	0.95419	0.94001	0.9515	0.97204	0.96389	0.95506	0.95757
-900	0.95866	0.96874	0.98414	0.95593	0.9495	0.93656	0.97325	0.95198	0.94888	0.95754	0.95302	0.96661	0.94718	0.94678	0.96521	0.97786	0.9526	0.96127	0.95793	0.95463	0.9528	0.94506	0.99278	0.94271	0.93708	0.94486	0.9387	0.96777	0.95318	0.96767	0.94825	0.95867	0.9694	0.97261	0.95257	0.94872	0.95764	0.95092	0.97734	0.97461	0.95018	0.96724	0.98857	0.97065	0.98311	0.9707
-885	0.98258	0.98029	0.99919	0.98354	0.98033	0.97445	0.9875	0.97058	0.96557	0.97238	0.96787	0.98244	0.96208	0.96135	0.97649	1.00385	0.98154	0.98314	0.96806	0.96733	0.97123	0.96945	1.00288	0.97106	0.9599	0.9574	0.95977	0.99268	0.98236	0.98798	0.97441	0.97153	0.98531	0.98717	0.97131	0.97332	0.97801	0.9529	0.97835	0.99944	0.96625	0.98423	0.99351	0.98779	1.00287	0.986
-870	0.99528	0.97664	1.00325	0.99615	0.99419	0.99025	1.00551	0.98272	0.97975	0.97846	0.97786	0.99454	0.96494	0.98468	0.98759	1.01464	0.9832	0.98546	0.97521	0.96115	0.98007	0.98562	1.00535	0.98311	0.97999	0.95677	0.98088	1.00642	0.99493	1.00771	0.98051	0.97522	0.98826	1.00757	0.98791	0.99297	0.99796	0.96563	0.97566	1.0103	0.97898	1.00821	0.99834	0.9767	1.01004	1.00738
-855	1.00775	0.98494	1.01351	0.985	0.99762	0.99725	1.0108	0.97678	0.99341	0.97988	0.98323	0.9949	0.97424	0.99227	0.98704	1.00566	0.97394	0.99437	0.97398	0.95784	0.97498	0.98417	0.99936	0.99657	0.98982	0.95045	0.9881	1.01794	0.99576	1.00303	0.97846	0.97557	0.99305	1.00787	1.00106	0.99956	0.99123	0.96997	0.97005	1.00753	0.98064	1.01403	1.00709	0.96083	1.00246	1.00968
-840	0.99981	0.98836	1.00189	0.96512	0.98914	0.9885	1.0031	0.96287	0.99245	0.98248	0.98392	0.99028	0.96792	0.9895	0.97747	0.98273	0.96334	0.98467	0.96617	0.94204	0.9658	0.9632	0.98521	0.99115	0.99332	0.94913	0.97533	1.01544	0.97631	0.99702	0.98768	0.9699	0.98429	1.00229	1.0066	0.98583	0.97759	0.98458	0.9707	1.00366	0.97213	1.00425	1.00656	0.95409	0.98694	1.00127
-825	0.98855	0.97629	0.97076	0.96338	0.98092	0.95191	0.97971	0.94388	0.97921	0.9661	0.96993	0.96803	0.94955	0.97237	0.95876	0.95578	0.94328	0.96344	0.9439	0.93398	0.93905	0.94489	0.97758	0.96388	0.9777	0.94531	0.95315	1.00102	0.96215	0.97904	0.97404	0.95503	0.97251	0.98934	0.98779	0.96835	0.96272	0.96989	0.96452	0.9734	0.95069	0.98862	0.98398	0.9352	0.96313	0.97904
-810	0.97056	0.95791	0.92931	0.95977	0.94619	0.92063	0.95317	0.91115	0.95952	0.94274	0.9525	0.93358	0.9263	0.9508	0.93392	0.9309	0.91146	0.94419	0.91435	0.91568	0.91948	0.91958	0.96114	0.94543	0.94585	0.91531	0.92925	0.9747	0.94082	0.95007	0.94035	0.94162	0.95814	0.95704	0.96316	0.94136	0.93978	0.95745	0.93567	0.94338	0.93176	0.95502	0.96376	0.89754	0.93948	0.95229
-795	0.94401	0.93063	0.89972	0.93589	0.91855	0.90823	0.9298	0.89415	0.93935	0.9282	0.92884	0.91773	0.90288	0.9289	0.9077	0.90635	0.89543	0.92318	0.89763	0.89752	0.89338	0.89679	0.94173	0.92367	0.91607	0.8919	0.90755	0.93711	0.92124	0.93333	0.9156	0.92893	0.93703	0.93495	0.93518	0.91514	0.91421	0.9363	0.92309	0.9148	0.9263	0.93961	0.92256	0.88281	0.91165	0.91661
