"site_name"	"sample"	"background_normalization"	"total_read_starts"	"total_read_ends"	"GC_corrected_total_read_starts"	"GC_corrected_total_read_ends"	"number_of_sites"	"endpoint"
"Eye"	"TGL48_0001_Ct_T_PE_312_WG"	"None"	87.61102	87.61231	51.48539	51.48553	52080	"midpoint"
"Eye"	"TGL48_0001_Ct_T_PE_321_WG"	"None"	43.26135	43.2606	24.56076	24.56017	52080	"midpoint"
"Eye"	"TGL48_0001_Ct_T_PE_324_WG"	"None"	38.51429	38.51475	22.05984	22.06017	52080	"midpoint"
"Eye"	"TGL48_0001_Ct_T_PE_326_WG"	"None"	33.0861	33.08562	18.37173	18.3717	52080	"midpoint"
"Eye"	"TGL48_0001_Ct_T_PE_327_WG"	"None"	40.90676	40.90678	23.01405	23.01466	52080	"midpoint"
"Eye"	"TGL48_0002_Ct_T_PE_316_WG"	"None"	31.68076	31.68343	18.5809	18.58244	52080	"midpoint"
"Eye"	"TGL48_0002_Ct_T_PE_317_WG"	"None"	97.99405	97.99724	57.71644	57.71807	52080	"midpoint"
"Eye"	"TGL48_0002_Ct_T_PE_321_WG"	"None"	37.60753	37.60712	21.1216	21.1215	52080	"midpoint"
"Eye"	"TGL48_0002_Ct_T_PE_322_WG"	"None"	75.13452	75.13408	44.0287	44.02915	52080	"midpoint"
"Eye"	"TGL48_0002_Ct_T_PE_333_WG"	"None"	75.85981	75.85941	43.84879	43.84853	52080	"midpoint"
"Eye"	"TGL48_0003_Ct_T_PE_309_WG"	"None"	80.1645	80.16536	44.87539	44.87662	52080	"midpoint"
"Eye"	"TGL48_0003_Ct_T_PE_314_WG"	"None"	49.82417	49.82435	27.88649	27.88688	52080	"midpoint"
"Eye"	"TGL48_0003_Ct_T_PE_326_WG"	"None"	46.17247	46.17208	24.69627	24.69576	52080	"midpoint"
"Eye"	"TGL48_0003_Ct_T_PE_328_WG"	"None"	48.52122	48.52179	26.29443	26.29476	52080	"midpoint"
"Eye"	"TGL48_0004_Ct_T_PE_317_WG"	"None"	109.55438	109.55359	62.24748	62.24678	52080	"midpoint"
"Eye"	"TGL48_0004_Ct_T_PE_324_WG"	"None"	53.99399	53.99437	30.46921	30.46933	52080	"midpoint"
"Eye"	"TGL48_0004_Ct_T_PE_327_WG"	"None"	58.57942	58.58379	32.82702	32.83047	52080	"midpoint"
"Eye"	"TGL48_0004_Ct_T_PE_334_WG"	"None"	48.17291	48.17245	26.6014	26.60159	52080	"midpoint"
"Eye"	"TGL48_0005_Ct_T_PE_322_WG"	"None"	80.84414	80.84301	44.45827	44.45766	52080	"midpoint"
"Eye"	"TGL48_0005_Ct_T_PE_323_WG"	"None"	55.06807	55.06849	30.25873	30.25973	52080	"midpoint"
"Eye"	"TGL48_0005_Ct_T_PE_327_WG"	"None"	94.41772	94.4168	51.31142	51.31071	52080	"midpoint"
