"site_name"	"sample"	"background_normalization"	"total_read_starts"	"total_read_ends"	"GC_corrected_total_read_starts"	"GC_corrected_total_read_ends"	"number_of_sites"	"endpoint"
"Liver_dnase"	"TGL48_0001_Ct_T_PE_312_WG"	"None"	88.02922	88.02767	49.11194	49.11137	16156	"midpoint"
"Liver_dnase"	"TGL48_0001_Ct_T_PE_321_WG"	"None"	42.47289	42.47437	23.31557	23.31655	16156	"midpoint"
"Liver_dnase"	"TGL48_0001_Ct_T_PE_324_WG"	"None"	37.42455	37.42368	20.99947	20.99891	16156	"midpoint"
"Liver_dnase"	"TGL48_0001_Ct_T_PE_326_WG"	"None"	31.22481	31.22382	17.26754	17.26732	16156	"midpoint"
"Liver_dnase"	"TGL48_0001_Ct_T_PE_327_WG"	"None"	40.09161	40.08956	21.76897	21.76811	16156	"midpoint"
"Liver_dnase"	"TGL48_0002_Ct_T_PE_316_WG"	"None"	31.42523	31.42671	17.38251	17.38384	16156	"midpoint"
"Liver_dnase"	"TGL48_0002_Ct_T_PE_317_WG"	"None"	95.54531	95.54791	54.2771	54.27841	16156	"midpoint"
"Liver_dnase"	"TGL48_0002_Ct_T_PE_321_WG"	"None"	35.19361	35.19268	19.56904	19.56902	16156	"midpoint"
"Liver_dnase"	"TGL48_0002_Ct_T_PE_322_WG"	"None"	72.29593	72.29735	41.0042	41.005	16156	"midpoint"
"Liver_dnase"	"TGL48_0002_Ct_T_PE_333_WG"	"None"	74.56122	74.55886	41.08731	41.08593	16156	"midpoint"
"Liver_dnase"	"TGL48_0003_Ct_T_PE_309_WG"	"None"	77.65449	77.65654	42.66549	42.66704	16156	"midpoint"
"Liver_dnase"	"TGL48_0003_Ct_T_PE_314_WG"	"None"	48.74666	48.74678	26.34525	26.34509	16156	"midpoint"
"Liver_dnase"	"TGL48_0003_Ct_T_PE_326_WG"	"None"	43.14453	43.14273	23.07858	23.0775	16156	"midpoint"
"Liver_dnase"	"TGL48_0003_Ct_T_PE_328_WG"	"None"	45.89762	45.89657	24.70716	24.70675	16156	"midpoint"
"Liver_dnase"	"TGL48_0004_Ct_T_PE_317_WG"	"None"	105.4477	105.4451	58.35125	58.35006	16156	"midpoint"
"Liver_dnase"	"TGL48_0004_Ct_T_PE_324_WG"	"None"	52.38797	52.39119	28.65653	28.65831	16156	"midpoint"
"Liver_dnase"	"TGL48_0004_Ct_T_PE_327_WG"	"None"	56.41823	56.4178	30.77838	30.7785	16156	"midpoint"
"Liver_dnase"	"TGL48_0004_Ct_T_PE_334_WG"	"None"	46.15555	46.1509	24.85467	24.85189	16156	"midpoint"
"Liver_dnase"	"TGL48_0005_Ct_T_PE_322_WG"	"None"	74.73341	74.73341	41.6209	41.62083	16156	"midpoint"
"Liver_dnase"	"TGL48_0005_Ct_T_PE_323_WG"	"None"	52.56697	52.57106	28.20734	28.20959	16156	"midpoint"
"Liver_dnase"	"TGL48_0005_Ct_T_PE_327_WG"	"None"	89.26764	89.26318	48.26435	48.26119	16156	"midpoint"
