"sample"	"liver"	"liver_limit"
"X90."	"TGL48_0003_Ct_T_PE_314_WG"	0.29169913609383	0.858244647152933
"X90..1"	"TGL48_0003_Ct_T_PE_309_WG"	0.652336243678569	0.858244647152933
"X90..2"	"TGL48_0003_Ct_T_PE_326_WG"	0.460884378836823	0.858244647152933
"X90..3"	"TGL48_0003_Ct_T_PE_328_WG"	0.603624217140554	0.858244647152933
"X90..4"	"TGL48_0009_Ct_T_PE_328_WG"	0.651110322968601	0.858244647152933
"X90..5"	"TGL48_0009_Ct_T_PE_329_WG"	0.574383262572907	0.858244647152933
"X90..6"	"TGL48_0009_Ct_T_PE_320_WG"	0.807760533469616	0.858244647152933
"X90..7"	"TGL48_0009_Ct_T_PE_327_WG"	1	0.858244647152933
"X90..8"	"TGL48_0005_Ct_T_PE_323_WG"	0.115673684552728	0.858244647152933
"X90..9"	"TGL48_0005_Ct_T_PE_327_WG"	0.380918840266916	0.858244647152933
"X90..10"	"TGL48_0005_Ct_T_PE_322_WG"	0.43320853109483	0.858244647152933
"X90..11"	"TGL48_0005_Ct_T_PE_330_WG"	0.287358047325879	0.858244647152933
"X90..12"	"TGL48_0006_Ct_T_PE_332_WG"	0.661269881931668	0.858244647152933
"X90..13"	"TGL48_0006_Ct_T_PE_333_WG"	0.528305821113534	0.858244647152933
"X90..14"	"TGL48_0006_Ct_T_PE_331_WG"	0.229517951989494	0.858244647152933
"X90..15"	"TGL48_0006_Ct_T_PE_327_WG"	0.288630470845736	0.858244647152933
"X90..16"	"TGL48_0006_Ct_T_PE_317_WG"	0.628919745116797	0.858244647152933
"X90..17"	"TGL48_0004_Ct_T_PE_327_WG"	0.771805516086306	0.858244647152933
"X90..18"	"TGL48_0004_Ct_T_PE_317_WG"	0	0.858244647152933
"X90..19"	"TGL48_0004_Ct_T_PE_324_WG"	0.389509036780433	0.858244647152933
"X90..20"	"TGL48_0004_Ct_T_PE_334_WG"	0.461483736351491	0.858244647152933
"X90..21"	"TGL48_0002_Ct_T_PE_316_WG"	0.290307184648962	0.858244647152933
"X90..22"	"TGL48_0002_Ct_T_PE_321_WG"	0.232216885286066	0.858244647152933
"X90..23"	"TGL48_0002_Ct_T_PE_322_WG"	0.175298837651552	0.858244647152933
"X90..24"	"TGL48_0002_Ct_T_PE_317_WG"	0.616631593586272	0.858244647152933
"X90..25"	"TGL48_0002_Ct_T_PE_333_WG"	0.645907564868478	0.858244647152933
"X90..26"	"TGL48_0011_Ct_T_PE_315_WG"	0.533122151983483	0.858244647152933
"X90..27"	"TGL48_0011_Ct_T_PE_319_WG"	0.656306821626809	0.858244647152933
"X90..28"	"TGL48_0011_Ct_T_PE_325_WG"	0.399150490711658	0.858244647152933
"X90..29"	"TGL48_0011_Ct_T_PE_324_WG"	0.307074900282859	0.858244647152933
"X90..30"	"TGL48_0011_Ct_T_PE_322_WG"	0.199600105428161	0.858244647152933
"X90..31"	"TGL48_0001_Ct_T_PE_321_WG"	0.483734554431834	0.858244647152933
"X90..32"	"TGL48_0001_Ct_T_PE_327_WG"	0.794756526160851	0.858244647152933
"X90..33"	"TGL48_0001_Ct_T_PE_324_WG"	0.361098844086375	0.858244647152933
"X90..34"	"TGL48_0001_Ct_T_PE_312_WG"	0.757988746421401	0.858244647152933
"X90..35"	"TGL48_0001_Ct_T_PE_326_WG"	0.351229631119331	0.858244647152933
"X90..36"	"TGL48_0008_Ct_T_PE_321_WG"	0.459760417385855	0.858244647152933
"X90..37"	"TGL48_0010_Ct_T_PE_333_WG"	0.54332809254296	0.858244647152933
"X90..38"	"TGL48_0010_Ct_T_PE_335_WG"	0.404341005587213	0.858244647152933
"X90..39"	"TGL48_0010_Ct_T_PE_330_WG"	0.46672123253487	0.858244647152933
"X90..40"	"TGL48_0010_Ct_T_PE_329_WG"	0.787175813501299	0.858244647152933
"X90..41"	"TGL48_0010_Ct_T_PE_328_WG"	0.684995722378477	0.858244647152933
"X90..42"	"TGL48_0007_Ct_T_PE_324_WG"	0.907980021343014	0.858244647152933
"X90..43"	"TGL48_0007_Ct_T_PE_320_WG"	0.657580773318786	0.858244647152933
"X90..44"	"TGL48_0007_Ct_T_PE_321_WG"	0.788754415834639	0.858244647152933
"X90..45"	"TGL48_0007_Ct_T_PE_328_WG"	0.611866971874741	0.858244647152933
