"sample"	"cancer"	"type"	"P.20_150."
"TGL48_0001_Ct_T_PE_312_WG"	"uveal_melanoma"	"uveal_melanoma"	0.1924728856033
"TGL48_0001_Ct_T_PE_321_WG"	"uveal_melanoma"	"uveal_melanoma"	0.19059354883665
"TGL48_0001_Ct_T_PE_324_WG"	"uveal_melanoma"	"uveal_melanoma"	0.154330348221143
"TGL48_0001_Ct_T_PE_326_WG"	"uveal_melanoma"	"uveal_melanoma"	0.135994249508828
"TGL48_0001_Ct_T_PE_327_WG"	"uveal_melanoma"	"uveal_melanoma"	0.157016178421966
"TGL48_0002_Ct_T_PE_316_WG"	"uveal_melanoma"	"uveal_melanoma"	0.175331109156063
"TGL48_0002_Ct_T_PE_317_WG"	"uveal_melanoma"	"uveal_melanoma"	0.216519292936223
"TGL48_0002_Ct_T_PE_321_WG"	"uveal_melanoma"	"uveal_melanoma"	0.184045110569235
"TGL48_0002_Ct_T_PE_322_WG"	"uveal_melanoma"	"uveal_melanoma"	0.149655070137756
"TGL48_0002_Ct_T_PE_333_WG"	"uveal_melanoma"	"uveal_melanoma"	0.195108502624972
"TGL48_0003_Ct_T_PE_309_WG"	"uveal_melanoma"	"uveal_melanoma"	0.19377293652928
"TGL48_0003_Ct_T_PE_314_WG"	"uveal_melanoma"	"uveal_melanoma"	0.19535199956486
"TGL48_0003_Ct_T_PE_326_WG"	"uveal_melanoma"	"uveal_melanoma"	0.17934809136121
"TGL48_0003_Ct_T_PE_328_WG"	"uveal_melanoma"	"uveal_melanoma"	0.174267082725969
"TGL48_0004_Ct_T_PE_317_WG"	"uveal_melanoma"	"uveal_melanoma"	0.167811477411591
"TGL48_0004_Ct_T_PE_324_WG"	"uveal_melanoma"	"uveal_melanoma"	0.199629533128025
"TGL48_0004_Ct_T_PE_327_WG"	"uveal_melanoma"	"uveal_melanoma"	0.199938242398531
"TGL48_0004_Ct_T_PE_334_WG"	"uveal_melanoma"	"uveal_melanoma"	0.196157993876748
"TGL48_0005_Ct_T_PE_322_WG"	"uveal_melanoma"	"uveal_melanoma"	0.187234197030781
"TGL48_0005_Ct_T_PE_323_WG"	"uveal_melanoma"	"uveal_melanoma"	0.208736347527155
"TGL48_0005_Ct_T_PE_327_WG"	"uveal_melanoma"	"uveal_melanoma"	0.197156145719845
"TGL48_0005_Ct_T_PE_330_WG"	"uveal_melanoma"	"uveal_melanoma"	0.210957426818408
"TGL48_0006_Ct_T_PE_317_WG"	"uveal_melanoma"	"uveal_melanoma"	0.204465857084155
"TGL48_0006_Ct_T_PE_327_WG"	"uveal_melanoma"	"uveal_melanoma"	0.188870579910616
"TGL48_0006_Ct_T_PE_331_WG"	"uveal_melanoma"	"uveal_melanoma"	0.191603275328121
"TGL48_0006_Ct_T_PE_332_WG"	"uveal_melanoma"	"uveal_melanoma"	0.190657186286622
"TGL48_0006_Ct_T_PE_333_WG"	"uveal_melanoma"	"uveal_melanoma"	0.221042253759051
"TGL48_0007_Ct_T_PE_320_WG"	"uveal_melanoma"	"uveal_melanoma"	0.199015290209853
"TGL48_0007_Ct_T_PE_321_WG"	"uveal_melanoma"	"uveal_melanoma"	0.20972836452091
"TGL48_0007_Ct_T_PE_324_WG"	"uveal_melanoma"	"uveal_melanoma"	0.188832716421301
"TGL48_0007_Ct_T_PE_328_WG"	"uveal_melanoma"	"uveal_melanoma"	0.202257557962121
"TGL48_0008_Ct_T_PE_321_WG"	"uveal_melanoma"	"uveal_melanoma"	0.176250722000939
"TGL48_0009_Ct_T_PE_320_WG"	"uveal_melanoma"	"uveal_melanoma"	0.238731499386098
