hyper_cohort	probeID	bin_chr	bin_start	bin_end	cpg_count
GSE102468	cg16502686	chr21	45291901	45292200	11
GSE102468	cg05196487	chr8	29071501	29071800	27
GSE102468	cg21570020	chr2	241816501	241816800	11
GSE102468	cg02363655	chr8	144729901	144730200	9
GSE102468	cg26316072	chr1	155307901	155308200	10
GSE102468	cg24181605	chr15	62166601	62166900	5
GSE102468	cg05584361	chr11	1460101	1460400	21
GSE102468	cg23305365	chr8	104367001	104367300	11
GSE102468	cg13747016	chr10	42865801	42866100	15
GSE102468	cg01101677	chr2	44086801	44087100	9
GSE102468	cg01723606	chr7	102300901	102301200	47
GSE102468	cg02922913	chr19	1009501	1009800	23
GSE102468	cg13311142	chr17	81941401	81941700	24
GSE102468	cg22239213	chr7	2640001	2640300	14
GSE102468	cg01034396	chr13	36920401	36920700	28
GSE102468	cg09982314	chr10	133047901	133048200	11
GSE102468	cg04270402	chr7	95435401	95435700	9
GSE102468	cg01435039	chr10	29411701	29412000	8
GSE102468	cg04420275	chr1	203272801	203273100	9
GSE102468	cg21449569	chr19	2276101	2276400	28
GSE102468	cg02441556	chr2	225042901	225043200	8
GSE102468	cg01591405	chr17	18121501	18121800	13
GSE102468	cg27287944	chr19	1254301	1254600	19
GSE102468	cg16679386	chr20	3751501	3751800	38
GSE102468	cg10778636	chr1	20551801	20552100	7
GSE102468	cg00541066	chr9	124853701	124854000	6
GSE102468	cg20756245	chr4	1207801	1208100	16
GSE102468	cg16656493	chr6	42925201	42925500	22
GSE102468	cg21245122	chr20	49317901	49318200	6
GSE102468	cg24402975	chr19	1009501	1009800	23
GSE102468	cg07415388	chr17	17813701	17814000	17
TCGA-ACC	cg25662041	chr5	177332101	177332400	23
TCGA-ACC	cg24480810	chr12	132663001	132663300	10
TCGA-ACC	cg03636488	chr12	132066301	132066600	11
TCGA-ACC	cg12808347	chr2	11481601	11481900	9
TCGA-ACC	cg20504474	chr17	82303201	82303500	13
TCGA-ACC	cg23305365	chr8	104367001	104367300	11
TCGA-ACC	cg07248017	chr4	8228701	8229000	9
TCGA-ACC	cg22239213	chr7	2640001	2640300	14
TCGA-ACC	cg15982099	chr11	47378101	47378400	15
TCGA-ACC	cg18257485	chr4	2954701	2955000	6
TCGA-ACC	cg20438663	chr12	48819001	48819300	11
TCGA-ACC	cg21249754	chr12	6951001	6951300	10
TCGA-ACC	cg19622474	chr5	37835401	37835700	7
TCGA-ACC	cg13832290	chr9	35649901	35650200	11
TCGA-ACC	cg07862768	chr8	104367001	104367300	11
TCGA-ACC	cg21946195	chr2	85785001	85785300	12
TCGA-ACC	cg11105292	chr7	32762701	32763000	13
TCGA-ACC	cg13641043	chr17	45121201	45121500	28
TCGA-ACC	cg14999168	chr11	70365001	70365300	8
TCGA-ACC	cg01490733	chr1	2315401	2315700	20
TCGA-ACC	cg09178025	chr11	62927401	62927700	9
TCGA-ACC	cg19429051	chr5	93596101	93596400	17
TCGA-ACC	cg27409401	chr16	564601	564900	17
TCGA-ACC	cg26363363	chr12	6951001	6951300	10
TCGA-ACC	cg06451900	chr15	36879901	36880200	14
TCGA-ACC	cg26058474	chr2	241035601	241035900	18
TCGA-ACC	cg17864091	chr20	63568501	63568800	18
TCGA-ACC	cg04728863	chr14	58396501	58396800	5
TCGA-ACC	cg13555415	chr9	131578801	131579100	10
TCGA-ACC	cg15046675	chr19	49335301	49335600	4
TCGA-ACC	cg05490871	chr19	17281201	17281500	8
TCGA-ACC	cg00015530	chr8	143978701	143979000	9
TCGA-ACC	cg05389958	chr16	564901	565200	20
TCGA-ACC	cg24217003	chr10	121600501	121600800	5
TCGA-ACC	cg07675031	chr11	47378101	47378400	15
TCGA-ACC	cg08702941	chr4	42153001	42153300	8
TCGA-ACC	cg07885132	chr6	32148001	32148300	5
TCGA-ACC	cg15297650	chr2	134719201	134719500	26
TCGA-ACC	cg11650763	chr5	93594601	93594900	10
TCGA-ACC	cg10673833	chr7	44979001	44979300	13
TCGA-ACC	cg23032427	chr15	76343401	76343700	11
TCGA-ACC	cg03448915	chr16	66549001	66549300	10
TCGA-ACC	cg09560082	chr5	93594901	93595200	20
TCGA-ACC	cg15901594	chr9	135736201	135736500	19
TCGA-ACC	cg12012524	chr19	1267801	1268100	11
TCGA-ACC	cg23074992	chr14	94770901	94771200	7
TCGA-ACC	cg11981700	chr19	474901	475200	17
TCGA-ACC	cg23147227	chr12	6951001	6951300	10
TCGA-ACC	cg23819145	chr2	24360901	24361200	13
TCGA-ACC	cg04990190	chr16	73062901	73063200	28
TCGA-ACC	cg14410964	chr9	136532401	136532700	14
TCGA-ACC	cg18102738	chr17	4583701	4584000	9
TCGA-ACC	cg12550731	chr1	184386001	184386300	11
TCGA-ACC	cg00291478	chr10	119541301	119541600	7
TCGA-ACC	cg03222009	chr2	128319601	128319900	24
TCGA-ACC	cg02484391	chr1	22562701	22563000	6
TCGA-ACC	cg27072025	chr10	133389601	133389900	23
TCGA-ACC	cg24084606	chr19	44926801	44927100	10
TCGA-ACC	cg16246489	chr5	135399901	135400200	10
TCGA-ACC	cg18290233	chr5	93595201	93595500	10
TCGA-ACC	cg19731612	chr5	177132301	177132600	36
TCGA-ACC	cg00549601	chr12	51814801	51815100	30
TCGA-ACC	cg16962442	chr13	114062701	114063000	15
TCGA-ACC	cg03786808	chr17	43917001	43917300	6
TCGA-ACC	cg26013992	chr1	61054201	61054500	16
TCGA-ACC	cg26202195	chr8	104367001	104367300	11
TCGA-ACC	cg13462622	chr9	34578901	34579200	9
TCGA-ACC	cg08241477	chr5	93593701	93594000	16
TCGA-ACC	cg25482146	chr12	121578301	121578600	26
TCGA-ACC	cg08480068	chr16	29663401	29663700	8
TCGA-ACC	cg00951857	chr6	108114301	108114600	9
TCGA-ACC	cg08257257	chr11	68750101	68750400	25
TCGA-ACC	cg23781334	chr4	1770301	1770600	30
TCGA-ACC	cg16462006	chr14	94689301	94689600	11
TCGA-ACC	cg19874640	chr5	135191701	135192000	9
TCGA-ACC	cg21311067	chr19	4916701	4917000	11
