bin_chr	bin_start	bin_end	i.bin_start	i.bin_end	TGL48_0001_Ct_T_PE_313_CM_UMB.001.BL	TGL48_0001_Ct_T_PE_317_CM_UMB.001.2W.P	TGL48_0002_Ct_T_PE_307_CM_UMB.002.2W.P	TGL48_0001_Ct_T_PE_318_CM_UMB.001.12M.P	TGL48_0002_Ct_T_PE_306_CM_UMB.002.BL	TGL48_0002_Ct_T_PE_314_CM_UMB.002.3M.P	TGL48_0001_Ct_T_PE_316_CM_UMB.001.3M.P	TGL48_0006_Ct_T_PE_337_CM_UMB.006_3_Mth_FU	TGL48_0006_Ct_T_PE_336_CM_UMB.006_6_Mth_FU	TGL48_0007_Ct_T_PE_336_CM_UMB.007_6_Mth_FU	TGL48_0003_Ct_T_PE_326_CM_UMB.003.6M.P	TGL48_0009_Ct_T_PE_334_CM_UMB.009_2_Wk_Post	TGL48_0004_Ct_T_PE_329_CM_UMB.004.2W.P	TGL48_0009_Ct_T_PE_338_CM_UMB.009_Baseline	TGL48_0003_Ct_T_PE_323_CM_UMB.003.3M.P	TGL48_0007_Ct_T_PE_326_CM_UMB.007.BL	TGL48_0002_Ct_T_PE_309_CM	TGL48_0004_Ct_T_PE_318_CM	TGL48_0001_Ct_T_PE_311_CM_UMB.001.6M.P	TGL48_0011_Ct_T_PE_322_CM_UMB.011_3_Mth_FU	TGL48_0005_Ct_T_PE_320_CM_UMB.005_6_Mth_FU	TGL48_0009_Ct_T_PE_329_CM_UMB.009_3_Mth_FU	TGL48_0011_Ct_T_PE_325_CM_UMB.011_Baseline	TGL48_0006_Ct_T_PE_327_CM_UMB.006_2_Wk_Post	TGL48_0006_Ct_T_PE_322_CM_UMB.006_Baseline	TGL48_0011_Ct_T_PE_324_CM_UMB.011_12_Mth_FU	TGL48_0008_Ct_T_PE_326_CM_UMB.008.BL	TGL48_0007_Ct_T_PE_325_CM_UMB.007.2W.P	TGL48_0011_Ct_T_PE_333_CM_UMB.011_6_Mth_FU	TGL48_0007_Ct_T_PE_327_CM_UMB.007.3M.P	TGL48_0011_Ct_T_PE_319_CM_UMB.011.2W.P	TGL48_0010_Ct_T_PE_330_CM_UMB.010.3M.P	TGL48_0010_Ct_T_PE_334_CM_UMB.010.6M.P	TGL48_0010_Ct_T_PE_328_CM_UMB.010.2W.P	TGL48_0010_Ct_T_PE_332_CM_UMB.010.12M.P	TGL48_0010_Ct_T_PE_326_CM_UMB.010.BL	TGL48_0009_Ct_T_PE_322_CM_UMB.009.6M.P	TGL48_0005_Ct_T_PE_324_CM_UMB.005_2_Wk_Post	TGL48_0005_Ct_T_PE_328_CM_UMB.005_Baseline	TGL48_0002_Ct_T_PE_320_CM_UMB.002_6_Mth_F_U	TGL48_0004_Ct_T_PE_328_CM_UMB.004_3_Mth_FU	TGL48_0005_Ct_T_PE_331_CM_UMB.005_3_Mth_F_U	TGL48_0004_Ct_T_PE_326_CM_UMB.004_6_Mths_Post	TGL48_0003_Ct_T_PE_313_CM_UMB.003.2W.P	TGL48_0003_Ct_T_PE_314_CM_UMB.003.BL	TGL48_0006_Ct_T_PE_312_CM_UMB.006.12M.P	TGL48_0002_nn_P_PE_327_CM	TGL48_0003_nn_P_PE_328_CM	TGL48_0005_nn_P_PE_327_CM	TGL48_0007_nn_P_PE_312_CM	TGL48_0008_nn_P_PE_327_CM	TGL48_0009_nn_P_PE_325_CM	TGL48_0010_nn_P_PE_327_CM	TGL49_0255_Ct_n_PE_220318_CM	TGL49_0256_Ct_n_PE_220318_CM	TGL49_0257_Ct_n_PE_220318_CM	TGL49_0258_Ct_n_PE_220318_CM	TGL49_0259_Ct_n_PE_220318_CM	TGL49_0260_Ct_n_PE_220318_CM	TGL49_0261_Ct_n_PE_220318_CM	TGL49_0263_Ct_n_PE_220318_CM	TGL49_0196_Ct_T_PE_319_CM	TGL49_0197_Ct_T_PE_313_CM	TGL49_0198_Ct_T_PE_312_CM	TGL49_0199_Ct_T_PE_312_CM	TGL49_0200_Ct_T_PE_310_CM	TGL49_0201_Ct_T_PE_318_CM
chr1	9426601	9426900	9426601	9426900	0.113284094981329	0.289993426867586	0.0547158799906602	0.0627312230946217	0.0882482308413511	0.101763128434447	0.305979017482944	0.300490051751604	0.814735361254475	0.707273680163567	0.194486127320658	0.0631982340726468	0.619798358130447	0.510028742957366	0.134752269188845	0.553091918863256	0.900395036632089	0.0339913500323215	0.0881932066706833	0.385548954799409	0.322025156580625	0.940258816273916	0.36310829185255	0.510041806187882	0.115812068845623	0.919879925489295	0.0273865361159171	0.114355933738501	0.840261270102841	0.156814102772185	0.211037075129985	0.197620606809784	0.527805164139556	0.0241812034822872	0.122122053726179	0.138363674350991	0.784534927291549	0.815532220609272	0.166722198751279	0.292030911258923	0.0261585715073289	0.210117126531305	0.0178363229080231	0.0464441892478053	0.34834071529736	0.170306542435075	0.999979035181873	0.999938515528332	0.999371700974287	0.994787939595189	0.991282854583836	0.999959131029757	0.999912861336139	0.326456911311248	0.672024441671617	0.495194517765003	0.0433435118060241	0.0410274391745802	0.862966696827127	0.295694445619686	0.815662369680505	0.383384816140794	0.123430012923239	0.516123145528394	0.143285083289406	0.158012531251814	0.240247513062809
chr1	24501601	24501900	24501601	24501900	0.340324733220145	0.49276493400408	0.14890004884814	0.0241904520131452	0.0379715279589771	0.894721882741362	0.162005876552011	0.185872010298374	0.250795142735539	0.0143613918271836	0.841202569833241	0.0350077704695447	0.834287089978487	0.819122336035824	0.697923195176325	0.466554822862517	0.0138883443705362	0.654964086325929	0.539683914838414	0.925107103596797	0.222565808138797	0.765587921213273	0.84286938395641	0.393518390599343	0.473186559921119	0.98560473831455	0.478908006916818	0.560171433995258	0.0183499072941564	0.638059399097398	0.49034005176497	0.113097937794228	0.00977798187435889	0.731060904950155	0.00869969005468356	0.884967516863516	0.997376613070637	0.958489858332149	0.0973172848559633	0.179831225065428	0.736374798088867	0.666915518744124	0.592616429145141	0.972394792322717	0.707512851818738	0.519388936314523	0.0281721203922457	0.837211645841083	0.556962146036984	0.698969623141722	0.848589300416975	0.0832029087944836	0.568202672266622	0.0808788111727001	0.123565031350549	0.251246129488475	0.839115226954416	0.4779131365448	0.399567336461421	0.797615235287018	0.43111511765321	0.8467374858778	0.990721703515354	0.0971428112415278	0.300527365447292	0.332403802336743	0.926216770392608
chr1	33429901	33430200	33429901	33430200	0.119500074094488	0.0570849586163202	0.29912468781618	0.900895300056051	0.806104561803087	0.949911118837881	0.057798304748959	0.020840737519998	0.983117947416791	0.0233968620981732	0.714582155443319	0.0520824400856428	0.294152850166763	0.527670577337889	0.173007106667763	0.026361808252503	0.37194865723998	0.386953698578137	0.374163865809793	0.975048309475164	0.706708984346119	0.992096463477973	0.744046460402563	0.528389068881828	0.911527775700678	0.0508541321956934	0.672203697789279	0.474575257460628	0.939092108644802	0.809472696536927	0.701037405714764	0.215974381078996	0.596050383865453	0.205588250053637	0.138572865142952	0.151423044051326	0.839699197727915	0.255745167145329	0.0156841160734834	0.345120884269727	0.618218427139331	0.216292973593192	0.477927839101278	0.897857637671665	0.942474356400166	0.467356651379699	0.774579913334982	0.99971781015255	0.998834169754103	0.875302669460832	0.916327197486926	0.999630968680528	0.997878443584453	0.49329300465821	0.775303030704024	0.600424464320649	0.889537852957468	0.353085691113295	0.54793906621011	0.555251260267525	0.0150857712996601	0.0993664786897943	0.913123348089275	0.588927799889921	0.92580499836514	0.806880692668588	0.66559328742034
chr1	35576701	35577000	35576701	35577000	0.000617693799704505	0.0844191620726547	0.132114440316848	0.0165110728017087	0.000984703236126141	0.0961876018219942	0.0328011342679409	0.00112939257367853	0.0178033449004344	0.518428496249428	0.000107062635456769	0.00314192184878638	3.00191055951511e-05	0.00674200503690706	4.09945726710804e-06	5.89408223084113e-05	0.0761260773588992	6.26352414132859e-05	0.00397142067419977	0.0138283944129858	0.00639745315398997	0.0219664931240692	0.00758692820254344	0.000418453418467461	0.00512784742444912	0.000341424068583099	1.74365087999497e-05	2.35270028880933e-05	0.000109303784094162	0.000656943030820399	1.77491433000216e-05	0.000580531656790315	1.0577711166376e-05	0.000901723829644779	4.50088791622884e-05	6.69702140407874e-05	9.84842466844431e-05	9.98546096762625e-05	0.00183939020802766	4.2946742128314e-05	0.000527302414622856	0.000465832436625592	0.0135255056056089	0.0037395391906149	0.00944552393527191	0.00219512788522868	0.999838463775869	0.969776670275621	0.989054934585459	0.996427084208928	0.028409044903214	0.506122130259461	0.945570835846607	0.00402542041215796	0.0399109386583667	0.300871957220099	0.00328714578829209	0.0760714913814324	0.0030703368533181	0.00806964310432228	0.0122626668383423	0.0099288585826959	0.00330031789463249	0.00154103392632905	0.00109265587070774	0.0112631912902652	0.00236107024105792
chr1	47436301	47436600	47436301	47436600	0.0105407298155831	0.00565567202568862	0.00543443136428834	0.0825672638410775	0.00811548001963754	0.133980922824757	0.0844059039216753	0.0308216091893051	0.451934211153498	0.0340614324006278	0.0325681674928562	0.0687727946451399	0.308231413730858	0.0543625519088263	0.563289494958718	0.0321642893002663	0.409426572653399	0.0381321305915773	0.0156059942295891	0.0369261798865078	0.0300028975659348	0.0371304707497504	0.0369960449648388	0.0196667012482429	0.0123248519257053	0.0596123559615541	0.034615936214335	0.480325211741436	0.0367358935475382	0.218886366057516	0.0330599907458805	0.029780212372927	0.22931588242056	0.0275878962933191	0.0252383042564042	0.0236101918545596	0.0225099108371052	0.0287726659883692	0.0220919650312399	0.668292230705477	0.0306783012628233	0.0285261184446256	0.0213456529231539	0.196603335452226	0.00710292209762166	0.0644849478204105	0.0128487755586829	0.0184365204751772	0.0237473116388464	0.0652579327659119	0.0190797586187606	0.0224127681779266	0.319760926656779	0.019832014901721	0.0261141069408607	0.0144714077933045	0.0440663504134545	0.0439704263028282	0.0235416913943819	0.0356897605621387	0.0226397725150415	0.0165329497646816	0.0186195586481661	0.0263565956286843	0.0205976088572012	0.0212537945823545	0.0303100872593309
chr1	47439601	47439900	47439601	47439900	0.0185379544628027	0.343652892496586	0.258998376991293	0.0447107008333627	0.0646269599603324	0.0187508649722786	0.474369849766225	0.00322951246412565	0.00830106405752351	0.0992222617614132	0.000308128300628303	0.000654665184148077	0.0305537971590569	0.00707613614689867	0.0472686694585527	0.0117900293220244	0.11017372187115	0.0374945020076882	0.00668111787733849	0.0123605141060423	0.00552823317146158	0.463575448609662	0.000394904103134078	0.185168302431601	0.567738059823794	0.914865631329327	0.00340387237024413	0.00119699425958841	0.000541466134870488	0.0299091627541058	0.000382319626726928	0.00456749159761903	0.00062821935771277	0.0261859842404303	0.000296084723285986	0.000376772561911925	0.999907796048893	0.896337541761725	0.0589983526139482	0.0044207870811983	0.00701173984609031	0.934012551929942	0.11953387629076	0.267892305057522	0.393755070069976	0.0102660213628582	0.999999998993218	0.999999988075682	0.999999907149925	0.999829956399994	0.99991325822352	0.999997837549531	0.999999990093258	0.041138814267881	0.0167835078617106	0.00925819671783786	0.0121915238606804	0.0217384085364708	0.0108718655997166	0.060986292194619	0.281983650464715	0.00748847112593436	0.0881428140257048	0.00787054764011672	0.00500988968172225	0.00768940689432998	0.00895287979256312
chr1	148318801	148319100	148318801	148319100	0.00998729817104965	0.00534647232672689	0.0683991868116776	0.00540059749814836	0.00767211374631217	0.00789318369230149	0.00586612306670539	0.339594841906259	0.432789680891991	0.0332375007240372	0.0305607533547295	0.0674579496519336	0.0323960644186562	0.0530881933612372	0.176818465675373	0.267638407260815	0.0313381935789293	0.0371419104631845	0.109051135878911	0.0360331995152492	0.0292124585537376	0.0364548825100221	0.036085127043692	0.0192404491187122	0.0118833446342437	0.058319808438999	0.0328300430332702	0.0175155134073285	0.0356426213747692	0.0224783952099563	0.268219857689596	0.0286975112540521	0.0257784032887706	0.230249349546241	0.0241990640971005	0.0226119959183865	0.0216021240784059	0.0278390051413427	0.524271983674546	0.013233584493144	0.0295774208448545	0.0277216657200268	0.17770635129341	0.00833153662672462	0.00690172075018807	0.060006466052005	0.999607969982723	0.992422372291007	0.982345838598843	0.920082599885318	0.99795589600836	0.809580828587473	0.734105243272898	0.0196130405378914	0.0256687750746836	0.0142381116100004	0.0438935989764879	0.0432681422783238	0.0231166080649682	0.0349705433482583	0.210925327075394	0.0162234197837817	0.0180754455630194	0.587001440877617	0.0200120419137982	0.020607033685604	0.0293668200451649
chr1	230641801	230642100	230641801	230642100	0.00201056012163576	0.000895624188505346	0.00991958997472009	0.00132145164863807	0.00169737046130408	0.737743401017257	0.00866255651469284	0.340874688944725	0.508670986906641	0.139513234987004	0.000467959537072885	0.00454743299838775	0.00968667188447021	0.00236092897833386	0.0242088069216825	0.162124202240113	0.99501007564854	0.517533096422565	0.0123999449159855	0.00297745098422915	0.364952966920834	0.609885139073444	0.0405476270873822	0.00144882391144253	0.0284071459297202	0.00883779167637953	0.00061011368075431	0.00284598122276592	0.0474724857407956	0.518073946945375	0.00051082096394023	0.00775002832167636	0.00659634160396935	0.00860752789065823	0.00351390900221897	0.00421071542051711	0.746040328491243	0.000929656217674226	0.00790272280678466	0.0116458861071957	0.209083238283	0.000946138194242742	0.00597055387671159	0.00172916397280418	0.000153162656288812	0.0011596694709387	0.128671010149879	0.984583657369804	0.999009403167976	0.51284213645692	0.887290771792987	0.103593634378811	0.855750997257223	0.0779220511095462	0.191885203282433	0.0280636498317495	0.00423342607643114	0.00292550385094077	0.0878678387096644	0.0759902490843992	0.725924149868843	0.0314514906890962	0.116735804574036	0.000794456041712435	0.00579033582388331	0.0427139419922998	0.0678614771700136
chr10	3240001	3240300	3240001	3240300	0.522459183977651	0.231662892432382	0.06723329312352	0.586424671740695	0.36197275769319	0.122369914247675	0.0631246108367967	0.090712267793727	0.00318877009029658	0.956222050276392	0.0326844960735859	0.363680278998354	0.0463282177225227	0.0123830153929484	0.0210039953495163	0.145026615608245	0.722854826331939	0.961276025393661	0.0150124220889289	0.157745812163647	0.107624561720325	0.957622402599144	0.00933165285018579	0.0057048906664114	0.887137818160152	0.0217991182020968	0.00419417972967283	0.0161978469186697	0.641580011779065	0.0257137792541802	0.0367045986662639	0.0413894723611173	0.168897209559578	0.190723666225582	0.276411298011599	0.118355567238119	0.0265601255028392	0.233244663575486	0.0359812121975542	0.0137575918121231	0.20481085020529	0.052570257744796	0.316167607808258	0.0896304880474024	0.00705706534120866	0.100594246759331	0.996351409019943	0.986730709099964	0.371361938342389	0.0249528804244835	0.834494539176458	0.291804504001591	0.0760160242517718	0.123783767204048	0.0711703192381868	0.412885354225403	0.0154376727582066	0.12416454088855	0.355090659638361	0.0934035008457603	0.2915857199762	0.135017405731299	0.63367797513703	0.00524053676014144	0.143604020617319	0.170662344732338	0.562750341537332
chr10	44292301	44292600	44292301	44292600	0.999999381298496	0.999961348697877	0.999954539828275	0.991788576979914	0.999998525137713	0.999991829303667	0.999981489894945	0.988292372996036	0.999139806988807	0.996264656841546	0.996641250280256	0.9788741434663	0.945419582487749	0.999682516570836	0.988028276605104	0.767259547462745	0.999995457939328	0.951840723281341	0.999870193541311	0.922858522624891	0.998281007127634	0.96684831332372	0.993715294694867	0.993606927794798	0.990804728882275	0.79483022611124	0.465256804674677	0.996183462373841	0.254918862002558	0.925959164102749	0.997632346477357	0.990781898682528	0.99747236247715	0.89926334650884	0.999312839658016	0.98792454132394	0.999963745469313	0.996173920546875	0.999876559727577	0.999999451902602	0.981611432507766	0.658574383561586	0.996612916659756	0.970765391732123	0.860534056478029	0.991082421120805	0.999462244210452	0.999467383102806	0.998123520545981	0.935225961855608	0.999568859208755	0.997030944289001	0.999878478815032	0.958296848643503	0.566541220255919	0.798615383131732	0.238905939659063	0.960286345139002	0.242293201272069	0.912616012649518	0.675422727021667	0.946779017652037	0.931432994837339	0.734245483726667	0.625378489884864	0.866446090149021	0.99938091374102
