"ensembl"	"gene"	"Chromosome"	"Start"	"End"
"ENSG00000227232"	"WASH7P"	"chr1"	14404	29570
"ENSG00000243485"	"MIR1302-2HG"	"chr1"	29554	31109
"ENSG00000279457"	"WASH9P"	"chr1"	185217	195411
"ENSG00000230368"	"FAM41C"	"chr1"	868071	876903
"ENSG00000223764"	"LINC02593"	"chr1"	916865	921016
"ENSG00000187634"	"SAMD11"	"chr1"	923923	944575
"ENSG00000188976"	"NOC2L"	"chr1"	944203	959309
"ENSG00000187961"	"KLHL17"	"chr1"	960584	965719
"ENSG00000187583"	"PLEKHN1"	"chr1"	966482	975865
"ENSG00000187642"	"PERM1"	"chr1"	975204	982093
"ENSG00000188290"	"HES4"	"chr1"	998962	1000172
"ENSG00000187608"	"ISG15"	"chr1"	1001138	1014540
"ENSG00000188157"	"AGRN"	"chr1"	1020120	1056118
"ENSG00000237330"	"RNF223"	"chr1"	1070967	1074306
"ENSG00000131591"	"C1orf159"	"chr1"	1081818	1116361
"ENSG00000223823"	"LINC01342"	"chr1"	1137017	1144056
"ENSG00000205231"	"TTLL10-AS1"	"chr1"	1173056	1179555
"ENSG00000162571"	"TTLL10"	"chr1"	1173880	1197936
"ENSG00000186891"	"TNFRSF18"	"chr1"	1203508	1206592
"ENSG00000186827"	"TNFRSF4"	"chr1"	1211340	1214153
"ENSG00000078808"	"SDF4"	"chr1"	1216909	1232067
"ENSG00000184163"	"C1QTNF12"	"chr1"	1242446	1246722
"ENSG00000162572"	"SCNN1D"	"chr1"	1280436	1292029
"ENSG00000131584"	"ACAP3"	"chr1"	1292390	1309609
"ENSG00000169972"	"PUSL1"	"chr1"	1308597	1311677
"ENSG00000127054"	"INTS11"	"chr1"	1311585	1324687
"ENSG00000224051"	"CPTP"	"chr1"	1324756	1328896
"ENSG00000169962"	"TAS1R3"	"chr1"	1331280	1335314
"ENSG00000107404"	"DVL1"	"chr1"	1335276	1349418
"ENSG00000162576"	"MXRA8"	"chr1"	1352689	1361777
"ENSG00000175756"	"AURKAIP1"	"chr1"	1373730	1375495
"ENSG00000205116"	"TMEM88B"	"chr1"	1425871	1430255
"ENSG00000225285"	"LINC01770"	"chr1"	1430539	1434573
"ENSG00000179403"	"VWA1"	"chr1"	1434861	1442882
"ENSG00000215915"	"ATAD3C"	"chr1"	1449689	1470163
"ENSG00000197785"	"ATAD3A"	"chr1"	1512162	1534685
"ENSG00000205090"	"TMEM240"	"chr1"	1534778	1540624
"ENSG00000228594"	"FNDC10"	"chr1"	1598012	1600135
"ENSG00000197530"	"MIB2"	"chr1"	1615454	1630605
"ENSG00000248333"	"CDK11B"	"chr1"	1635225	1659012
"ENSG00000215914"	"MMP23A"	"chr1"	1699942	1701782
"ENSG00000169885"	"CALML6"	"chr1"	1915108	1917296
"ENSG00000178821"	"TMEM52"	"chr1"	1917590	1919279
"ENSG00000142609"	"CFAP74"	"chr1"	1921951	2003837
"ENSG00000187730"	"GABRD"	"chr1"	2019329	2030758
"ENSG00000067606"	"PRKCZ"	"chr1"	2050411	2185395
"ENSG00000162585"	"FAAP20"	"chr1"	2184461	2212720
"ENSG00000157933"	"SKI"	"chr1"	2228319	2310213
"ENSG00000116151"	"MORN1"	"chr1"	2321253	2391707
"ENSG00000157911"	"PEX10"	"chr1"	2403964	2413797
"ENSG00000149527"	"PLCH2"	"chr1"	2425980	2505532
"ENSG00000157881"	"PANK4"	"chr1"	2508537	2526597
"ENSG00000142606"	"MMEL1"	"chr1"	2590639	2633016
"ENSG00000215912"	"TTC34"	"chr1"	2635976	2801717
"ENSG00000169717"	"ACTRT2"	"chr1"	3021467	3022903
"ENSG00000177133"	"PRDM16-DT"	"chr1"	3059615	3068437
"ENSG00000142611"	"PRDM16"	"chr1"	3069168	3438621
"ENSG00000130762"	"ARHGEF16"	"chr1"	3454665	3481113
"ENSG00000162591"	"MEGF6"	"chr1"	3487951	3611508
"ENSG00000116213"	"WRAP73"	"chr1"	3630767	3652761
"ENSG00000078900"	"TP73"	"chr1"	3652516	3736201
"ENSG00000162592"	"CCDC27"	"chr1"	3746460	3771645
"ENSG00000235169"	"SMIM1"	"chr1"	3772749	3775982
"ENSG00000130764"	"LRRC47"	"chr1"	3778559	3796498
"ENSG00000236423"	"LINC01134"	"chr1"	3900352	3917225
"ENSG00000233304"	"LINC01346"	"chr1"	3940486	3955262
"ENSG00000226374"	"LINC01345"	"chr1"	3944547	3949024
"ENSG00000284668"	"LINC02780"	"chr1"	3976133	4012704
"ENSG00000196581"	"AJAP1"	"chr1"	4654609	4792534
"ENSG00000131697"	"NPHP4"	"chr1"	5862811	5992473
"ENSG00000069424"	"KCNAB2"	"chr1"	5990927	6101193
"ENSG00000116254"	"CHD5"	"chr1"	6101787	6180321
"ENSG00000158286"	"RNF207"	"chr1"	6205475	6221299
"ENSG00000173673"	"HES3"	"chr1"	6244179	6245578
"ENSG00000158292"	"GPR153"	"chr1"	6247353	6261098
"ENSG00000097021"	"ACOT7"	"chr1"	6264269	6393767
"ENSG00000069812"	"HES2"	"chr1"	6412418	6424670
"ENSG00000187017"	"ESPN"	"chr1"	6424776	6461367
"ENSG00000171680"	"PLEKHG5"	"chr1"	6467122	6520074
"ENSG00000171735"	"CAMTA1"	"chr1"	6785454	7769706
"ENSG00000237728"	"CAMTA1-AS2"	"chr1"	7382487	7389754
"ENSG00000162426"	"SLC45A1"	"chr1"	8318114	8344167
"ENSG00000228526"	"MIR34AHG"	"chr1"	9148011	9198906
"ENSG00000049239"	"H6PD"	"chr1"	9234774	9271337
"ENSG00000171621"	"SPSB1"	"chr1"	9292894	9369532
"ENSG00000188807"	"TMEM201"	"chr1"	9588911	9614877
"ENSG00000171608"	"PIK3CD"	"chr1"	9651731	9729114
"ENSG00000179840"	"PIK3CD-AS1"	"chr1"	9652610	9654586
"ENSG00000178585"	"CTNNBIP1"	"chr1"	9848276	9910336
